0cat3.915879811
1cat3.908606216
2cat3.89163795
3cat3.869223044
4cat3.849844046
5cat3.837130054
6cat3.823208378
7cat3.80505467
8cat3.785092156
9cat3.765741163
10cat3.747001111
11cat3.733101175
12cat3.718600515
13cat3.701083839
14cat3.682365134
15cat3.66667039
16cat3.653997085
17cat3.634087727
18cat3.614788521
19cat3.59730446
20cat3.583441757
21cat3.568980084
22cat3.5515107
23cat3.534046959
24cat3.52140434
25cat3.509968349
26cat3.490713271
27cat3.472066569
28cat3.458236169
29cat3.445611587
30cat3.429985366
31cat3.41256164
32cat3.395744281
33cat3.383735233
34cat3.369328074
35cat3.353124863
36cat3.33572715
37cat3.320134273
38cat3.308742522
39cat3.297353351
40cat3.282371544
41cat3.264998285
42cat3.247032347
43cat3.237453186
44cat3.224883368
45cat3.209325205
46cat3.194370114
47cat3.174636452
48cat3.164473774
49cat3.15311803
50cat3.137582956
51cat3.12265016
52cat3.107722066
53cat3.096379872
54cat3.085040414
55cat3.068931172
56cat3.052827499
57cat3.037325547
58cat3.027788474
59cat3.01527407
60cat3.000976086
61cat2.986087126
62cat2.975965426
63cat2.964655624
64cat2.950968617
65cat2.937285795
66cat2.920039533
67cat2.909932775
68cat2.899828332
69cat2.884973078
70cat2.871310699
71cat2.857652607
72cat2.846373083
73cat2.835096508
74cat2.822636369
75cat2.810179859
76cat2.798912823
77cat2.788834327
78cat2.771647153
79cat2.760390402
80cat2.747952256
81cat2.735517828
82cat2.727822194
83cat2.714210356
84cat2.699419994
85cat2.690548344
86cat2.681678627
87cat2.66926428
88cat2.658035539
89cat2.645628471
90cat2.630863168
91cat2.620825888
92cat2.6125618
93cat2.598398816
94cat2.587779925
95cat2.575394861
96cat2.56772989
97cat2.555351211
98cat2.54415487
99cat2.53178376
100cat2.52177198
101cat2.510585456
102cat2.499402229
103cat2.488222314
104cat2.481163027
105cat2.471164647
106cat2.458817405
107cat2.446474268
108cat2.434135253
109cat2.425324206
110cat2.416515279
111cat2.404186355
112cat2.394795699
113cat2.387167587
114cat2.376021714
115cat2.367224787
116cat2.356085124
117cat2.346707062
118cat2.33557384
119cat2.326786938
120cat2.315660022
121cat2.304536651
122cat2.297513197
123cat2.289906063
124cat2.277621158
125cat2.26651003
126cat2.257740639
127cat2.248389114
128cat2.241961436
129cat2.23203016
130cat2.218598398
131cat2.209841459
132cat2.198752645
133cat2.192917917
134cat2.185334313
135cat2.17541993
136cat2.166091487
137cat2.155017429
138cat2.146277421
139cat2.138704659
140cat2.128222241
141cat2.119489512
142cat2.113087031
143cat2.104358454
144cat2.093887339
145cat2.081675441
146cat2.07411808
147cat2.06656255
148cat2.057265961
149cat2.047391397
150cat2.041003661
151cat2.032295256
152cat2.024169653
153cat2.016626393
154cat2.007924967
155cat1.999805901
156cat1.992268733
157cat1.983574361
158cat1.974303162
159cat1.966772448
160cat1.960401806
161cat1.95113788
162cat1.944770631
163cat1.934933071
164cat1.925677236
165cat1.917002584
166cat1.909486669
167cat1.901394814
168cat1.895038538
169cat1.885218002
170cat1.880597753
171cat1.870782241
172cat1.865587184
173cat1.856353912
174cat1.850007815
175cat1.841356389
176cat1.832131193
177cat1.828096144
178cat1.818299219
179cat1.811385865
180cat1.805050171
181cat1.796988711
182cat1.791807619
183cat1.78087305
184cat1.775119814
185cat1.768792695
186cat1.759592316
187cat1.754418515
188cat1.747521702
189cat1.740052209
190cat1.732584861
191cat1.725693836
192cat1.71937868
193cat1.711917316
194cat1.703884436
195cat1.697574666
196cat1.691839874
197cat1.685533106
198cat1.678654799
199cat1.672351342
200cat1.664331064
201cat1.659176537
202cat1.651733006
203cat1.64486405
204cat1.638569195
205cat1.633992138
206cat1.627700088
207cat1.619694384
208cat1.61340605
209cat1.605405095
210cat1.596835612
211cat1.593979802
212cat1.587127263
213cat1.580847513
214cat1.576281474
215cat1.568863556
216cat1.564299854
217cat1.558026224
218cat1.550044059
219cat1.543774296
220cat1.538075995
221cat1.532948739
222cat1.524975298
223cat1.519850995
224cat1.514158687
225cat1.50676084
226cat1.501071851
227cat1.497090421
228cat1.491403901
229cat1.484013607
230cat1.477193996
231cat1.473216868
232cat1.468672465
233cat1.462425457
234cat1.45447732
235cat1.449369348
236cat1.444829947
237cat1.439724269
238cat1.431784532
239cat1.42894963
240cat1.422147415
241cat1.417047193
242cat1.409115976
243cat1.404018927
244cat1.399489264
245cat1.394960591
246cat1.389867021
247cat1.383077555
248cat1.377986932
249cat1.370636053
250cat1.367244237
251cat1.36385299
252cat1.357637184
253cat1.354247555
254cat1.348034725
255cat1.343517519
256cat1.336179251
257cat1.331664748
258cat1.32715128
259cat1.319819111
260cat1.315308377
261cat1.310235052
262cat1.304599585
263cat1.300655738
264cat1.295023077
265cat1.290518143
266cat1.2877031
