FET Vds-Id
VG= -40 to 9.95 in 0.15 step
VDS= -20 to 0 in 5 step
NO. VG ID
 V A
199 -10.3 -1.3928E-06
200 -10.15 -1.4192E-06
201 -10 -1.4599E-06
202 -9.85 -1.3662E-06
203 -9.7 -1.307E-06
204 -9.55 -1.3696E-06
205 -9.4 -1.3634E-06
206 -9.25 -1.2467E-06
207 -9.1 -1.241E-06
208 -8.95 -1.3092E-06
209 -8.8 -1.2374E-06
210 -8.65 -1.1525E-06
211 -8.5 -1.1871E-06
212 -8.35 -1.2191E-06
213 -8.2 -1.1186E-06
214 -8.05 -1.0748E-06
215 -7.9 -1.1462E-06
216 -7.75 -1.1263E-06
217 -7.6 -1.0128E-06
218 -7.45 -1.06604E-06
219 -7.3 -1.0848E-06
220 -7.15 -9.866E-07
221 -7 -1.03151E-06
222 -6.85 -1.0323E-06
223 -6.7 -9.707E-07
224 -6.55 -9.9683E-07
225 -6.4 -9.0347E-07
226 -6.25 -8.5979E-07
227 -6.1 -9.4153E-07
228 -5.95 -8.5066E-07
229 -5.8 -8.1639E-07
230 -5.65 -8.9029E-07
231 -5.5 -8.0058E-07
232 -5.35 -7.7227E-07
233 -5.2 -8.4324E-07
234 -5.05 -7.5672E-07
235 -4.9 -7.2406E-07
236 -4.75 -7.9842E-07
237 -4.6 -7.0985E-07
238 -4.45 -6.798E-07
239 -4.3 -7.6348E-07
240 -4.15 -6.7521E-07
241 -4 -6.2757E-07
242 -3.85 -7.3057E-07
243 -3.7 -6.4804E-07
244 -3.55 -5.8356E-07
245 -3.4 -5.8471E-07
246 -3.25 -6.0238E-07
247 -3.1 -6.4378E-07
248 -2.95 -5.4211E-07
249 -2.8 -5.1197E-07
250 -2.65 -5.3315E-07
251 -2.5 -5.7499E-07
252 -2.35 -5.9422E-07
253 -2.2 -5.822E-07
254 -2.05 -5.1712E-07
255 -1.9 -4.5815E-07
256 -1.75 -4.2799E-07
257 -1.6 -4.5461E-07
258 -1.45 -4.9602E-07
259 -1.3 -5.1017E-07
260 -1.15 -5.0346E-07
261 -1 -4.4019E-07
262 -0.85 -3.7784E-07
263 -0.7 -4.0883E-07
264 -0.55 -4.5858E-07
265 -0.4 -4.5367E-07
266 -0.25 -3.8043E-07
267 -0.1 -3.1722E-07
268 0.05 -3.9414E-07
269 0.2 -4.0796E-07
270 0.35 -3.2837E-07
271 0.5 -2.8147E-07
272 0.65 -3.438E-07
273 0.8 -3.8363E-07
274 0.95 -3.1432E-07
275 1.1 -2.5019E-07
276 1.25 -2.9655E-07
277 1.4 -3.4354E-07
278 1.55 -2.9092E-07
279 1.7 -2.2948E-07
